    20    26.55  12     8    14           0p1/2p       48.94340309       9.118403093      -17.43159691      -43.98159691      0.9598265985
    20    15.05  12     8    14           0p1/2p       22.78355127      0.2085512675      -14.84144873      -29.89144873      0.95982252724
    24    35.2   12     8    14           0p1/2p       77.08473154       24.28473154      -10.91526846      -46.11526846      0.9605992738
    24    15.9   12     8    14           0p1/2p       24.11768326      0.2676832554      -15.63231674      -31.53231674      0.9605940427
    28    46.75  12     8    14           0p1/2p       125.1732117       55.04821166       8.298211656      -38.45178834      0.9614404016
    28    16.75  12     8    14           0p1/2p         25.471086      0.3460859967        -16.403914        -33.153914      0.9614349563
     8    11.98  12     8    14           0d5/2n       18.25265525      0.2826552477      -11.69734475      -23.67734475      0.9838813841
     8    5.33   12     8    14           0d5/2n       11.88482024       3.889820244      -1.440179756      -6.770179756      0.9838810381
    12    13.88  12     8    14           0d5/2n       20.93194108      0.1119410824      -13.76805892      -27.64805892      0.9845427335
    12    10.37  12     8    14           0d5/2n       16.39508632      0.8400863219      -9.529913678      -19.89991368      0.9845427002
    16    18.3   12     8    14           0d5/2n       28.40325015      0.9532501515      -17.34674985      -35.64674985       0.984552119
    16    15.0   12     8    14           0d5/2n       22.61422196      0.1142219612      -14.88577804      -29.88577804      0.9845520891
    20    26.55  12     8    14           0d5/2n       47.77782957       7.952829571      -18.59717043      -45.14717043      0.9844873024
    20    15.05  12     8    14           0d5/2n       22.66291796     0.08791796006      -14.96208204      -30.01208204      0.9844871154
    24    35.2   12     8    14           0d5/2n       75.25545467       22.45545467      -12.74454533      -47.94454533      0.9844439953
    24    15.9   12     8    14           0d5/2n       23.99695922      0.1469592241      -15.75304078      -31.65304078      0.9844435589
    28    46.75  12     8    14           0d5/2n       122.6675694       52.54256941       5.792569408      -40.95743059      0.9844257501
    28    16.75  12     8    14           0d5/2n       25.36390989      0.2389098874      -16.51109011      -33.26109011      0.9844251026
