     1  1238    14       13.6035578187     -0.511398251686        13.092159567      0.935154254789
     2  1238    14       2.87858373288     -0.407477175779        2.4711065571      0.176507611222
     3  1238    14       1.04723467159     -0.338500128111      0.708734543481     0.0506238959629
     4  1238    14       0.45849307232     -0.289576462752      0.168916609568      0.012065472112
     5  1238    14      0.209866650797     -0.253100162996    -0.0432335121991   -0.00308810801422
     6  1238    14     0.0877067606313     -0.224857445094     -0.137150684462    -0.0097964774616
     7  1238    14      0.021800418276     -0.202339188021     -0.180538769745    -0.0128956264104
     8  1238    14    -0.0159531623699     -0.183961096668     -0.199914259038    -0.0142795899313
     9  1238    14    -0.0383978429491      -0.16867426352     -0.207072106469    -0.0147908647478
    10  1238    14    -0.0519944816608     -0.155756784799      -0.20775126646    -0.0148393761757
    11  1238    14    -0.0602369508535     -0.144695557176      -0.20493250803    -0.0146380362878
    12  1238    14    -0.0651242634755     -0.135115859304      -0.20024012278    -0.0143028659128
    13  1238    14     -0.067852762294       -0.1267376247     -0.194590386994    -0.0138993133567
    14  1238    14    -0.0691649985453     -0.119347310209     -0.188512308755     -0.013465164911
    15  1238    14     -0.069535833787     -0.112779236469     -0.182315070256    -0.0130225050183
     1  1238    54       43.3122824839       -2.0190214123       41.2932610716      0.764690019845
     2  1238    54       7.29997073114      -1.59742228267       5.70254844846      0.105602749046
     3  1238    54       1.67638704057       -1.3230810927      0.353305947873     0.0065427027384
     4  1238    54     0.0609427378609      -1.13019819888      -1.06925546102    -0.0198010270559
     5  1238    54     -0.525492630145     -0.987026643174      -1.51251927332    -0.0280096161726
     6  1238    54     -0.756936536472     -0.876439710286      -1.63337624676    -0.0302477082733
     7  1238    54     -0.844124793314     -0.788387419196      -1.63251221251    -0.0302317076391
     8  1238    54     -0.866789287997     -0.716580208738      -1.58336949673    -0.0293216573469
     9  1238    54     -0.859097703595       -0.6568776997      -1.51597540329    -0.0280736185795
    10  1238    54     -0.836993135506     -0.606441118221      -1.44343425373    -0.0267302639579
    11  1238    54     -0.808361265372     -0.563257969456      -1.37161923483    -0.0254003562005
    12  1238    54     -0.777250782426     -0.525861121951      -1.30311190438    -0.0241317019329
    13  1238    54     -0.745778178868     -0.493155376286      -1.23893355515    -0.0229432139843
    14  1238    54     -0.715045468307     -0.464306365177      -1.17935183348    -0.0218398487682
    15  1238    54     -0.685605828211      -0.43866709706      -1.12427292527    -0.0208198689865
     1  1238   114       95.0488894707      -5.39531994805       89.6535695226      0.786434820374
     2  1238   114       15.5377540528      -3.91788294591       11.6198711068       0.10192869392
     3  1238   114       3.25034921681        -3.120775466      0.129573750817    0.00113661184927
     4  1238   114     -0.227795644272      -2.60708469559      -2.83488033987    -0.0248673714023
     5  1238   114      -1.46170414272      -2.24425659801      -3.70596074073    -0.0325084275503
     6  1238   114       -1.9289021341      -1.97278399233      -3.90168612643    -0.0342253168985
     7  1238   114      -2.08853775689      -1.76134187127      -3.84987962816    -0.0337708739312
     8  1238   114       -2.1130659898      -1.59166809059      -3.70473408039    -0.0324976673718
     9  1238   114      -2.07572958774      -1.45232144511      -3.52805103285    -0.0309478160776
    10  1238   114      -2.01031969866      -1.33573710739      -3.34605680605    -0.0293513754917
    11  1238   114      -1.93330448865      -1.23669828118      -3.17000276982    -0.0278070418406
    12  1238   114      -1.85297025268        -1.151483374      -3.00445362668    -0.0263548563744
    13  1238   114      -1.77352419909      -1.07736218898      -2.85088638806    -0.0250077753339
    14  1238   114      -1.69705848421      -1.01228421372      -2.70934269793    -0.0237661640169
    15  1238   114      -1.62453927184     -0.954678220998      -2.57921749284    -0.0226247148495
     1  1238   162       123.837040753      -6.61920351525       117.217837238      0.723566896528
     2  1238   162       18.2075832364      -4.92507489687       13.2825083396     0.0819907922196
     3  1238   162       2.42484723763      -3.96027423928      -1.53542700165   -0.00947794445463
     4  1238   162      -1.82394266677      -3.32452091873      -5.14846358551    -0.0317806394167
     5  1238   162      -3.20759161902       -2.8701331235      -6.07772474252    -0.0375168193983
     6  1238   162      -3.64434717451      -2.52769359706      -6.17204077157    -0.0380990171085
     7  1238   162      -3.71843277734      -2.25969787264      -5.97813064998    -0.0369020410492
     8  1238   162      -3.64390490463      -2.04391714407      -5.68782204871    -0.0351100126463
     9  1238   162      -3.50884718153       -1.8662666955      -5.37511387702    -0.0331797152903
    10  1238   162      -3.35223329511      -1.71735747294      -5.06959076805    -0.0312937701731
    11  1238   162      -3.19198377949      -1.59067485429      -4.78265863377    -0.0295225841591
    12  1238   162      -3.03636628559      -1.48154930194      -4.51791558753    -0.0278883678242
    13  1238   162      -2.88901451439      -1.38654230311       -4.2755568175    -0.0263923260339
    14  1238   162       -2.7512763303      -1.30306351822      -4.05433984852    -0.0250267891884
    15  1238   162       -2.6233638602      -1.22912312408      -3.85248698429    -0.0237807838536
     1  1238   246       193.578834708      -10.1655269186        183.41330779      0.745582551991
     2  1238   246       28.2957309717      -7.23007733103       21.0656536407     0.0856327383768
     3  1238   246       3.64300145171      -5.67912717262      -2.03612572091   -0.00827693382483
     4  1238   246      -2.97555610975      -4.69712982013      -7.67268592988    -0.0311897802028
     5  1238   246       -5.1201923431      -4.01308462286      -9.13327696597    -0.0371271421381
