------------------------------------------------------------------------

_Search parameters_:
Nucleus:39CA

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
39 	CA     	20 	19 	2796.8    	6       	7/2-              	62 PS 17                 	2796.8    	        	100       	        	M2+E3     	-0.13   	7         	          	        
39 	CA     	20 	19 	3026      	3       	3/2-              	21 FS 11                 	3026      	        	100       	        	E1+M2     	-0.07   	2         	          	        
39 	CA     	20 	19 	3639.6    	8       	(9/2-)            	17 PS 10                 	844       	        	100       	13      	(M1+E2)   	-0.24   	4         	          	        
39 	CA     	20 	19 	3639.6    	8       	(9/2-)            	17 PS 10                 	3639      	        	33        	13      	(E3)      	        	          	          	        
39 	CA     	20 	19 	3825      	2       	(1/2,3/2,5/2)     	0.15 PS 6                	799       	        	          	        	          	        	          	          	        
39 	CA     	20 	19 	3825      	2       	(1/2,3/2,5/2)     	0.15 PS 6                	3825      	        	100       	        	          	        	          	          	        
39 	CA     	20 	19 	3869.8    	9       	(1/2:7/2+)        	3.5 PS LT                	3869.6    	9       	100       	        	          	        	          	          	        
39 	CA     	20 	19 	3882      	2       	(3/2-,5/2,7/2+)   	1.7 PS GT                	1082      	        	          	        	          	        	          	          	        
39 	CA     	20 	19 	3882      	2       	(3/2-,5/2,7/2+)   	1.7 PS GT                	3882      	        	          	        	          	        	          	          	        
39 	CA     	20 	19 	3890.5    	12      	(11/2-)           	26 PS LT                 	1094      	1       	100       	12      	[E2]      	        	          	          	        
39 	CA     	20 	19 	3890.5    	12      	(11/2-)           	26 PS LT                 	252       	1       	51        	5       	          	        	          	          	        
39 	CA     	20 	19 	3936      	1       	3/2-              	62 FS LT                 	3935      	1       	100       	        	(E1+M2)   	-0.10   	7         	          	        
39 	CA     	20 	19 	3951.4    	12      	(3/2-,5/2,7/2+)   	21 PS 17                 	1155      	        	43        	14      	          	        	          	          	        
39 	CA     	20 	19 	3951.4    	12      	(3/2-,5/2,7/2+)   	21 PS 17                 	3951      	        	100       	14      	          	        	          	          	        
39 	CA     	20 	19 	4020.7    	17      	1/2+              	0.42 PS 12               	1551      	        	100       	13      	[M1]      	        	          	          	        
39 	CA     	20 	19 	4020.7    	17      	1/2+              	0.42 PS 12               	991       	        	31        	13      	[E1]      	        	          	          	        
39 	CA     	20 	19 	5151      	2       	(11/2-)           	                         	1260      	1       	100       	        	          	        	          	          	        
39 	CA     	20 	19 	5402      	2       	(13/2-)           	                         	1511      	1       	100       	        	          	        	          	          	        
39 	CA     	20 	19 	6432      	2       	(15/2+)           	                         	1030      	1       	100       	        	          	        	          	          	        
39 	CA     	20 	19 	6900      	2       	(15/2-)           	                         	3008      	2       	100       	9       	          	        	          	          	        
39 	CA     	20 	19 	6900      	2       	(15/2-)           	                         	1749      	1       	73        	6       	          	        	          	          	        
39 	CA     	20 	19 	7750      	2       	(19/2-)           	                         	849       	1       	100       	        	          	        	          	          	        


To save this output into a local file, clik on "File" in your browser menu and select "Save as"




