      8      8     8     2     2       1.62687591799
     12     12     8     2     2      0.399366133403
     16     16     8     2     2     -0.163313889998
     20     20     8     2     2       0.24400210581
     24     24     8     2     2       1.98014414473
     28     28     8     2     2       5.07595476741
      8      8    10     2     2       2.03681968138
     12     12    10     2     2      0.637568457983
     16     16    10     2     2     -0.161734050619
     20     20    10     2     2      0.212967913355
     24     24    10     2     2       1.98391357796
     28     28    10     2     2       5.15218407827
      8      8    12     2     2       2.56009626423
     12     12    12     2     2      0.870346051214
     16     16    12     2     2     -0.154494310874
     20     20    12     2     2      0.210675276278
     24     24    12     2     2       1.99147805573
     28     28    12     2     2       5.17630506344

      8      8     8     8     8      0.896914388179
     12     12     8     8     8      0.346867193337
     16     16     8     8     8      0.105976301414
     20     20     8     8     8       1.18452032352
     24     24     8     8     8       3.56081881645
     28     28     8     8     8        6.7209080256
      8      8    10     8     8       1.64138390125
     12     12    10     8     8      0.422168202846
     16     16    10     8     8     0.0810307683148
     20     20    10     8     8       1.24790483947
     24     24    10     8     8       3.85883653479
     28     28    10     8     8        7.6824530676
      8      8    12     8     8       2.27853149681
     12     12    12     8     8      0.481988072182
     16     16    12     8     8     0.0703940219049
     20     20    12     8     8       1.26780817983
     24     24    12     8     8       4.00905454556
     28     28    12     8     8       8.13282942566

      8      8     8    20    20       1.08099729243
     12     12     8    20    20      0.181415661246
     16     16     8    20    20      0.490563765681
     20     20     8    20    20         2.151912167
     24     24     8    20    20       4.70550838202
     28     28     8    20    20       7.03245205622
      8      8    10    20    20       1.86639807657
     12     12    10    20    20      0.187331427242
     16     16    10    20    20      0.416055210082
     20     20    10    20    20       2.27704022595
     24     24    10    20    20       5.54989464095
     28     28    10    20    20       9.27247738193
      8      8    12    20    20       2.87501509374
     12     12    12    20    20      0.200430329557
     16     16    12    20    20      0.382580474878
     20     20    12    20    20       2.28896370459
     24     24    12    20    20       5.76699136372
     28     28    12    20    20       10.1778082813

      8      8     8    28    28      0.620798890367
     12     12     8    28    28      0.271406375959
     16     16     8    28    28      0.253124381232
     20     20     8    28    28       1.15343813698
     24     24     8    28    28       2.42749052689
     28     28     8    28    28       2.95847010202
      8      8    10    28    28        1.3907062397
     12     12    10    28    28      0.320281947581
     16     16    10    28    28      0.166059492529
     20     20    10    28    28       1.28192735664
     24     24    10    28    28       3.50463393249
     28     28    10    28    28       5.69433715171
      8      8    12    28    28       3.69447160216
     12     12    12    28    28      0.369101931967
     16     16    12    28    28      0.133438127592
     20     20    12    28    28       1.29929413336
     24     24    12    28    28       3.80929818459
     28     28    12    28    28       6.91965906842

      8      8     8     6     8      0.854045615256
     12     12     8     6     8      0.391535855137
     16     16     8     6     8      0.093443187553
     20     20     8     6     8      0.989263047552
     24     24     8     6     8        3.0860943557
     28     28     8     6     8       5.99239790802
      8      8    10     6     8       1.54123477447
     12     12    10     6     8       0.50999628973
     16     16    10     6     8     0.0744654168381
     20     20    10     6     8       1.05908336875
     24     24    10     6     8       3.42299764488
     28     28    10     6     8       6.93052362105
      8      8    12     6     8       2.21232816492
     12     12    12     6     8      0.586776445368
     16     16    12     6     8      0.068871469261
     20     20    12     6     8       1.08632790787
     24     24    12     6     8       3.59036447706
     28     28    12     6     8       7.41298428875

      8      8     8     8    14      0.827260242787
     12     12     8     8    14      0.282008455742
     16     16     8     8    14       0.24425946451
     20     20     8     8    14        1.4504681307
     24     24     8     8    14       3.87010456802
     28     28     8     8    14       6.89826716726
      8      8    10     8    14       1.46804297754
     12     12    10     8    14      0.356785614429
     16     16    10     8    14      0.227673132131
     20     20    10     8    14       1.54845882243
     24     24    10     8    14       4.23549469645
     28     28    10     8    14       7.99986223837
      8      8    12     8    14       2.12957723632
     12     12    12     8    14      0.414046579636
     16     16    12     8    14      0.222365011966
     20     20    12     8    14       1.61960146261
     24     24    12     8    14       4.49050351149
     28     28    12     8    14       8.59018378154

      8      8     8    14    20       1.09849961569
     12     12     8    14    20      0.254184300275
     16     16     8    14    20      0.312954320976
     20     20     8    14    20       1.64461965781
     24     24     8    14    20       4.08489798869
     28     28     8    14    20        6.7464529651
      8      8    10    14    20       1.84319660792
     12     12    10    14    20      0.303203171143
     16     16    10    14    20      0.265467205566
     20     20    10    14    20       1.70642981883
     24     24    10    14    20       4.58051519766
     28     28    10    14    20       8.27758418061
      8      8    12    14    20       2.76188051541
     12     12    12    14    20      0.342004086179
     16     16    12    14    20      0.243084828754
     20     20    12    14    20       1.74646910645
     24     24    12    14    20       4.78074330994     
     28     28    12    14    20       8.90720255441

-------------------------------------------------------

      8  4.398    12     6     8       5.26218244424
     12  9.302    12     6     8       1.80560078374
     16  17.26    12     6     8      0.223628862884
     20  26.16    12     6     8       5.71534577229
     24  37.38    12     6     8       23.3974444423
     28   50.3    12     6     8       57.8713663451

      8  14.55    12     6     8      0.170299217962
     12  15.48    12     6     8     0.0726519595082
     16  14.83    12     6     8     0.0635739030637
     20  15.29    12     6     8     0.0411076321566
     24  15.41    12     6     8     0.0350778544349
     28  15.59    12     6     8      0.032893875092

------------------------------------------------------

      8   4.36    12     8     8       5.39517920132
     12  9.526    12     8     8       1.52174699108
     16  17.27    12     8     8      0.276095601206
     20  26.72    12     8     8       6.89137136523
     24  38.31    12     8     8       26.9927849786
     28  51.67    12     8     8       65.8175086627

      8  14.68    12     8     8      0.149574410363
     12  15.12    12     8     8     0.0461271155726
     16  14.82    12     8     8     0.0242499198217
     20  14.97    12     8     8     0.0154632293111
     24  15.04    12     8     8     0.0126238596356
     28  15.17    12     8     8     0.0134937406025

