     16    10     8     8      -111.300197762       -42.354270232      -153.654467994      -9.60340424959
     20    10     8     8      -111.317244958      -43.6315443486      -154.948789306      -9.68429933164
     24    10     8     8      -111.310669069      -43.8305617556      -155.141230825      -9.69632692654
     16    12     8     8      -111.309991397      -43.4387324111      -154.748723808      -9.67179523802
     20    12     8     8      -111.322068329      -43.8293541694      -155.151422498      -9.69696390615
     24    12     8     8      -111.320511679      -43.8527359854      -155.173247665      -9.69832797904
     16    10     8     8      -144.707036406      -24.4630679254      -169.170104332      -10.5731315207
     20    10     8     8      -144.711013033      -24.6213861126      -169.332399145      -10.5832749466
     24    10     8     8      -144.700589597      -24.6286620878      -169.329251685      -10.5830782303
     16    12     8     8      -144.710063143      -24.6030958576      -169.313159001      -10.5820724375
     20    12     8     8      -144.711763284      -24.6329614655      -169.344724749      -10.5840452968
     24    12     8     8      -144.709222568      -24.6331469137      -169.342369482      -10.5838980926
     16    10     8     8      -81.7975917739      -45.0762944569      -126.873886231      -7.92961788942
     20    10     8     8      -81.7767204367      -45.3089574725      -127.085677909      -7.94285486932
     24    10     8     8      -81.6690677591       -45.225104841        -126.8941726      -7.93088578751
     16    12     8     8      -81.8012471045      -45.8427212032      -127.643968308      -7.97774801923
     20    12     8     8      -81.7914708199      -45.4182182404       -127.20968906      -7.95060556627
     24    12     8     8      -81.7526436868      -45.2368078618      -126.989451549      -7.93684072178
     16    10     8     8      -101.681161047      -27.4151462527        -129.0963073      -8.06851920626
     20    10     8     8      -101.657659091      -27.3616008697      -129.019259961      -8.06370374753
     24    10     8     8      -101.569817342      -27.3443694358      -128.914186777      -8.05713667358
     16    12     8     8      -101.683096613      -27.4813230748      -129.164419688      -8.07277623047
     20    12     8     8      -101.674237824      -27.3674309309      -129.041668755       -8.0651042972
     24    12     8     8      -101.643817806       -27.355410904       -128.99922871      -8.06245179439
400NN,400NN+3N,800NN,800NN+3N
