------------------------------------------------------------------------

_Search parameters_:
Nucleus:39K

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
39 	K      	19 	20 	7448.8    	0.9     	                  	                         
39 	K      	19 	20 	7461.8    	0.8     	(3/2-,5/2,7/2+)   	                         
39 	K      	19 	20 	7482.3    	0.8     	                  	                         
39 	K      	19 	20 	7502      	20      	3/2+,5/2+         	                         
39 	K      	19 	20 	7536.1    	0.9     	(1/2,3/2,5/2+)    	                         
39 	K      	19 	20 	7540.9    	0.9     	                  	                         
39 	K      	19 	20 	7552.2    	0.9     	                  	                         
39 	K      	19 	20 	7560.8    	0.9     	                  	                         
39 	K      	19 	20 	7568.6    	0.2     	(15/2+)           	0.24 PS 0.07             
39 	K      	19 	20 	7588      	2       	                  	0.21 PS LT               
39 	K      	19 	20 	7602.8    	0.9     	(3/2-,5/2,7/2+)   	                         
39 	K      	19 	20 	7605.4    	0.9     	                  	                         
39 	K      	19 	20 	7633.7    	0.7     	(3/2-,5/2+)       	                         
39 	K      	19 	20 	7700.1    	0.9     	(3/2-,5/2,7/2-)   	                         
39 	K      	19 	20 	7714.8    	0.9     	(5/2-)            	                         
39 	K      	19 	20 	7739.1    	0.7     	3/2-              	1.1 KEV 0.2              
39 	K      	19 	20 	7756.3    	0.9     	(3/2-,5/2+)       	                         
39 	K      	19 	20 	7766.6    	0.9     	                  	                         
39 	K      	19 	20 	7773.4    	0.9     	(3/2-,5/2+)       	                         
39 	K      	19 	20 	7776.4    	0.2     	17/2+             	2.3 PS 1.2               
39 	K      	19 	20 	7785.2    	0.9     	(1/2,3/2,5/2+)    	                         
39 	K      	19 	20 	7797.9    	0.9     	(3/2-,5/2+)       	                         
39 	K      	19 	20 	7802.4    	0.9     	(5/2-)            	                         
39 	K      	19 	20 	7805.3    	0.9     	(5/2-)            	                         
39 	K      	19 	20 	7821.1    	0.9     	(1/2-,3/2,5/2+)   	                         
39 	K      	19 	20 	7847.3    	1.2     	(3/2,5/2+)        	                         
39 	K      	19 	20 	7867.1    	2.1     	(11/2+:19/2+)     	0.17 PS LT               
39 	K      	19 	20 	7868.6    	1.1     	(3/2-,5/2+)       	                         
39 	K      	19 	20 	7900      	        	                  	                         
39 	K      	19 	20 	7958.3    	0.9     	(1/2,3/2,5/2+)    	                         
39 	K      	19 	20 	7979.1    	0.7     	(3/2-,5/2)        	                         
39 	K      	19 	20 	7982.1    	1.1     	                  	                         
39 	K      	19 	20 	7983.9    	0.9     	(3/2,5/2)         	                         
39 	K      	19 	20 	7986.8    	0.9     	                  	                         
39 	K      	19 	20 	7992.8    	1       	3/2(-)            	                         
39 	K      	19 	20 	7995.9    	0.9     	                  	                         
39 	K      	19 	20 	7999.0    	0.9     	                  	                         
39 	K      	19 	20 	8008.9    	0.8     	(15/2-)           	                         
39 	K      	19 	20 	8018.6    	1.2     	                  	                         
39 	K      	19 	20 	8028.4    	0.2     	19/2-             	13.9 PS 1                
39 	K      	19 	20 	8031.5    	0.9     	(1/2,3/2,5/2)     	                         
39 	K      	19 	20 	8034.4    	1.1     	(1/2,3/2,5/2)     	                         
39 	K      	19 	20 	8039.0    	0.9     	(3/2-,5/2)        	                         
39 	K      	19 	20 	8080.1    	1.3     	(3/2,5/2+)        	                         
39 	K      	19 	20 	8081.9    	1.3     	(1/2-,3/2,5/2+)   	                         
39 	K      	19 	20 	8087.5    	1.1     	                  	                         
39 	K      	19 	20 	8093.8    	0.9     	3/2-              	                         
39 	K      	19 	20 	8099.7    	1.1     	9/2(+)            	                         
39 	K      	19 	20 	8108.3    	0.9     	(3/2,5/2+)        	                         
39 	K      	19 	20 	8118.5    	0.9     	(3/2-,5/2+)       	                         
39 	K      	19 	20 	8129.1    	1.1     	                  	                         
39 	K      	19 	20 	8138.1    	1.1     	(3/2-,5/2)        	                         
39 	K      	19 	20 	8170.7    	1.1     	                  	                         
39 	K      	19 	20 	8185.5    	1.1     	                  	                         
39 	K      	19 	20 	8188.7    	0.9     	                  	                         
39 	K      	19 	20 	8191.8    	1.1     	                  	                         
39 	K      	19 	20 	8198.8    	1.1     	(3/2-,5/2,7/2+)   	                         
39 	K      	19 	20 	8203.7    	1.3     	                  	                         
39 	K      	19 	20 	8253.4    	0.9     	(1/2:7/2+)        	                         
39 	K      	19 	20 	8262.9    	1.1     	(1/2:7/2+)        	                         
39 	K      	19 	20 	8271.5    	1.1     	                  	                         
39 	K      	19 	20 	8280.3    	1.1     	(1/2:7/2+)        	                         
39 	K      	19 	20 	8285.7    	1.1     	                  	                         
39 	K      	19 	20 	8294.8    	1.1     	                  	                         
39 	K      	19 	20 	8305.5    	1.1     	(3/2-,5/2+)       	                         
39 	K      	19 	20 	8315.2    	1.1     	                  	                         
39 	K      	19 	20 	8326.5    	1.1     	                  	                         
39 	K      	19 	20 	8341.5    	1.1     	                  	                         
39 	K      	19 	20 	8347.6    	1.1     	                  	                         
39 	K      	19 	20 	8369.9    	0.7     	(1/2:7/2+)        	35 FS 17                 
39 	K      	19 	20 	8380.3    	1.1     	                  	                         
39 	K      	19 	20 	8387.0    	1.1     	                  	                         
39 	K      	19 	20 	8390      	2       	(1/2:7/2+)        	                         
39 	K      	19 	20 	8395.9    	1.6     	                  	                         
39 	K      	19 	20 	8414.6    	1.3     	                  	                         
39 	K      	19 	20 	8427.6    	1.3     	                  	                         
