A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
15 	O      	8  	7  	0.0       	        	1/2-              	122.24 S 16              
15 	O      	8  	7  	5183      	1       	1/2+              	5.7 FS 7                 
15 	O      	8  	7  	5240.9    	3       	5/2+              	2.25 PS 21               
15 	O      	8  	7  	6176.3    	17      	3/2-              	1.74 FS LT               
15 	O      	8  	7  	6793.1    	17      	3/2+              	20 FS LT                 
15 	O      	8  	7  	6859.4    	9       	5/2+              	11.1 FS 17               
15 	O      	8  	7  	7275.9    	6       	7/2+              	0.49 PS 11               
15 	O      	8  	7  	7556.5    	4       	1/2+              	0.99 KEV 10              
15 	O      	8  	7  	8284.0    	5       	3/2+              	3.6 KEV 7                
15 	O      	8  	7  	8743      	6       	1/2+              	32 KEV                   
15 	O      	8  	7  	8922      	2       	5/2+              	3.3 KEV 3                
15 	O      	8  	7  	8922      	2       	1/2+              	7.5 KEV                  
15 	O      	8  	7  	8982.1    	17      	(1/2)-            	3.9 KEV 4                
15 	O      	8  	7  	9484      	8       	(3/2)+            	200 KEV AP               
15 	O      	8  	7  	9488      	3       	5/2-              	10.1 KEV 5               
15 	O      	8  	7  	9609      	2       	3/2-              	8.8 KEV 5                
15 	O      	8  	7  	9662      	3       	(7/2,9/2)-        	2 KEV 1                  
15 	O      	8  	7  	10290     	        	(5/2-)            	3 KEV 1                  
15 	O      	8  	7  	10300     	        	5/2+              	11 KEV 2                 
15 	O      	8  	7  	10461     	5       	(9/2+)            	2 KEV LT                 
15 	O      	8  	7  	10480     	        	(3/2-)            	25 KEV 5                 
15 	O      	8  	7  	10506     	        	(3/2)+            	140 KEV 40               
15 	O      	8  	7  	10917     	12      	7/2+              	90 KEV                   
15 	O      	8  	7  	10938     	3       	1/2+              	99 KEV 5                 
15 	O      	8  	7  	11025     	3       	1/2-              	25 KEV 2                 
15 	O      	8  	7  	11151     	7       	                  	10 KEV LT                
15 	O      	8  	7  	11218     	3       	3/2+              	40 KEV 4                 
15 	O      	8  	7  	11565     	15      	                  	10 KEV LT                
15 	O      	8  	7  	11569     	15      	5/2-              	20 KEV 15                
15 	O      	8  	7  	11616     	15      	(3/2,1/2)-        	80 KEV 50                
15 	O      	8  	7  	11719     	8       	                  	10 KEV LT                
15 	O      	8  	7  	11748     	3       	5/2+              	99 KEV 5                 
15 	O      	8  	7  	11846     	3       	5/2-              	65 KEV 3                 
15 	O      	8  	7  	11980     	10      	5/2-              	20 KEV 5                 
15 	O      	8  	7  	12129     	15      	5/2+              	200 KEV 50               
15 	O      	8  	7  	12222     	20      	                  	100 KEV 50               
15 	O      	8  	7  	12255     	13      	5/2+              	135 KEV 15               
15 	O      	8  	7  	12295     	10      	                  	                         
15 	O      	8  	7  	12471     	3       	5/2-,(3/2-)       	77 KEV 4                 
15 	O      	8  	7  	12600     	10      	                  	                         
15 	O      	8  	7  	12800     	        	                  	250 KEV AP               
