      8     8     8     8      -92.7613241075       -22.877785995      -115.639110103      -7.22744438141
     12     8     8     8       -95.367492356      -29.9738895116      -125.341381868      -7.83383636673
     16     8     8     8      -95.3617843104      -32.3964136726      -127.758197983      -7.98488737394
     20     8     8     8      -95.2537009285      -32.8999869207      -128.153687849      -8.00960549058
     24     8     8     8      -94.9882732213       -32.979108823      -127.967382044      -7.99796137777
     28     8     8     8      -94.5126384645      -32.9316838445      -127.444322309      -7.96527014431
      8    10     8     8      -95.8137587716      -26.5006718801      -122.314430652      -7.64465191573
     12    10     8     8      -95.3917761553      -32.3784819438      -127.770258099      -7.98564113119
     16    10     8     8      -95.3861965119      -33.0987103466      -128.484906858      -8.03030667865
     20    10     8     8      -95.3633655423      -33.0393319367      -128.402697479      -8.02516859244
     24    10     8     8      -95.2696047588      -33.0049316681      -128.274536427      -8.01715852668
     28    10     8     8      -95.0549333716      -32.9912699391      -128.046203311      -8.00288770692
      8    12     8     8      -96.9286354957      -29.5524508313      -126.481086327      -7.90506789543
     12    12     8     8      -95.3978857259      -33.5163292208      -128.914214947      -8.05713843417
     16    12     8     8       -95.388258188      -33.2826402849      -128.670898473      -8.04193115455
     20    12     8     8      -95.3788971374      -33.0546410394      -128.433538177      -8.02709613605
     24    12     8     8      -95.3462957127      -33.0159564739      -128.362252187      -8.02264076167
     28    12     8     8      -95.2625779461      -33.0089825972      -128.271560543      -8.01697253395
