     8    12     8     8           0d5/2n       14.64456812       2.644568122      -5.355431878      -13.35543188      0.9760940264
    12    12     8     8           0d5/2n       18.65649187      0.6564918723      -11.34350813      -23.34350813      0.9751093324
    16    12     8     8           0d5/2n       24.09721837     0.09721837459      -15.90278163      -31.90278163      0.9749932503
    20    12     8     8           0d5/2n       31.08654845       1.086548454      -18.91345155      -38.91345155      0.9750428495
    24    12     8     8           0d5/2n        39.5607388       3.560738801       -20.4392612       -44.4392612       0.975158804
    28    12     8     8           0d5/2n        49.3518365         7.3518365       -20.6481635       -48.6481635      0.9753136592
     8    12     8     8           0d5/2p       14.60395501       2.603955008      -5.396044992      -13.39604499      0.9762731718
    16    14.4	 12     8    14           1s1/2n       21.76129604      0.1612960391      -14.23870396      -28.63870396      0.9705275166
    20    25.5	 12     8    14           1s1/2n       44.60009972        6.35009972      -19.14990028      -44.64990028      0.9702428926
    20    15.6	 12     8    14           1s1/2n       23.58459622      0.1845962223      -15.41540378      -31.01540378      0.9702822265
    24    35.01	 12     8    14           1s1/2n       73.55161211       21.03661211      -13.97338789      -48.98338789      0.9698512191
    24    16.45	 12     8    14           1s1/2n       24.91949496      0.2444949591      -16.20550504      -32.65550504      0.9699305053
    28    45.35	 12     8    14           1s1/2n       113.7393558       45.71435576      0.3643557607      -44.98564424      0.9693904875
    28    17.28	 12     8    14           1s1/2n       26.23965119      0.3196511908      -16.96034881      -34.24034881       0.969515513
     8    12.5	 12     8    14           0d5/2p       19.20413138      0.4541313837      -12.04586862      -24.54586862      0.9372046177
     8    5.10	 12     8    14           0d5/2p         12.406362       4.756362003     -0.3436379971      -5.443637997      0.9371975237
    12    14.33	 12     8    14           0d5/2p       21.62379237      0.1287923659      -14.20120763      -28.53120763      0.9383564181
    12    10.04	 12     8    14           0d5/2p       16.28316121       1.223161205      -8.816838795      -18.85683879      0.9383511213
    16    17.78	 12     8    14           0d5/2p       27.20539653      0.5353965343      -17.24460347      -35.02460347      0.9385363321
    16    14.4	 12     8    14           0d5/2p       21.71070353      0.1107035279      -14.28929647      -28.68929647      0.9385309825
    20    25.5	 12     8    14           0d5/2p       44.06710695       5.817106951      -19.68289305      -45.18289305      0.9385731335
    20    15.6	 12     8    14           0d5/2p       23.52274251      0.1227425078      -15.47725749      -31.07725749      0.9385535865
    24    35.01	 12     8    14           0d5/2p       72.77221097       20.25721097      -14.75278903      -49.76278903      0.9389122925
    24    16.45	 12     8    14           0d5/2p       24.87557043      0.2005704298      -16.24942957      -32.69942957      0.9388686156
    28    45.35	 12     8    14           0d5/2p       113.0686999        45.0436999     -0.3063001038       -45.6563001      0.9395806242
    28    17.28	 12     8    14           0d5/2p       26.22224727      0.3022472739      -16.97775273      -34.25775273      0.9395069773
