A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
17 	F      	9  	8  	0.0       	        	5/2+              	64.49 S 16               
17 	F      	9  	8  	495.33    	10      	1/2+              	286 PS 6                 
17 	F      	9  	8  	3104      	3       	1/2-              	19 KEV 1                 
17 	F      	9  	8  	3857      	4       	5/2-              	1.5 KEV 2                
17 	F      	9  	8  	4640      	20      	3/2-              	225 KEV                  
17 	F      	9  	8  	5000      	20      	3/2+              	1530 KEV                 
17 	F      	9  	8  	5220      	10      	9/2-              	                         
17 	F      	9  	8  	5488      	11      	3/2-              	68 KEV                   
17 	F      	9  	8  	5672      	20      	7/2-              	40 KEV                   
17 	F      	9  	8  	5682      	20      	(5/2-)            	0.6 KEV LT               
17 	F      	9  	8  	5820      	20      	3/2+              	180 KEV                  
17 	F      	9  	8  	6037      	9       	1/2-              	30 KEV                   
17 	F      	9  	8  	6560      	20      	1/2+              	200 KEV                  
17 	F      	9  	8  	6697      	7       	5/2+              	1.8 KEV LE               
17 	F      	9  	8  	6774      	20      	(3/2+)            	4.5 KEV                  
17 	F      	9  	8  	7027      	20      	5/2-              	3.8 KEV                  
17 	F      	9  	8  	7356      	20      	(3/2+)            	10 KEV 2                 
17 	F      	9  	8  	7448      	20      	                  	5 KEV LE                 
17 	F      	9  	8  	7454      	20      	                  	7 KEV 2                  
17 	F      	9  	8  	7471      	20      	                  	5 KEV 2                  
17 	F      	9  	8  	7479      	20      	3/2+              	795 KEV                  
17 	F      	9  	8  	7546      	20      	7/2-              	30 KEV                   
17 	F      	9  	8  	7750      	40      	(1/2+)            	179 KEV 30               
17 	F      	9  	8  	7950      	30      	                  	10 KEV 3                 
17 	F      	9  	8  	8010      	40      	                  	50 KEV 20                
17 	F      	9  	8  	8070      	30      	5/2(+)            	100 KEV 20               
17 	F      	9  	8  	8075      	10      	(1/2,3/2)-        	                         
17 	F      	9  	8  	8200      	        	3/2(-)            	700 KEV 250              
17 	F      	9  	8  	8383      	10      	5/2(-)            	11 KEV 5                 
17 	F      	9  	8  	8416      	20      	(7/2+)            	45 KEV 10                
17 	F      	9  	8  	8436      	10      	(1/2,3/2)-        	                         
17 	F      	9  	8  	8750      	60      	5/2(+)            	170 KEV 30               
17 	F      	9  	8  	8760      	        	3/2+              	90 KEV 20                
17 	F      	9  	8  	8825      	25      	(1/2,3/2)-        	                         
17 	F      	9  	8  	8980      	20      	7/2-              	165 KEV 30               
17 	F      	9  	8  	9170      	60      	3/2(+)            	140 KEV 30               
17 	F      	9  	8  	9450      	50      	                  	200 KEV 40               
17 	F      	9  	8  	9920      	        	9/2+              	90 KEV 30                
17 	F      	9  	8  	10030     	60      	                  	170 KEV 40               
17 	F      	9  	8  	10040     	40      	7/2               	280 KEV 100              
17 	F      	9  	8  	10220     	40      	                  	250 KEV 80               
17 	F      	9  	8  	10400     	40      	5/2(+)            	160 KEV 40               
17 	F      	9  	8  	10499     	30      	7/2-              	165 KEV 25               
17 	F      	9  	8  	10660     	20      	                  	90 KEV 60                
17 	F      	9  	8  	10790     	40      	                  	120 KEV 40               
17 	F      	9  	8  	1091E+1   	10      	1/2-              	560 KEV 100              
17 	F      	9  	8  	10950     	40      	                  	190 KEV 50               
17 	F      	9  	8  	11192.9   	23      	1/2-              	0.18 KEV 3               
17 	F      	9  	8  	11430     	40      	                  	240 KEV 50               
17 	F      	9  	8  	11580     	50      	                  	160 KEV 30               
17 	F      	9  	8  	12000     	40      	                  	120 KEV 40               
17 	F      	9  	8  	12250     	40      	3/2-              	300 KEV 30               
17 	F      	9  	8  	12355     	20      	1/2-              	190 KEV 20               
17 	F      	9  	8  	12500     	AP      	7/2-              	600 KEV AP               
17 	F      	9  	8  	12550.1   	9       	3/2-              	2.83 KEV 12              
17 	F      	9  	8  	13061     	4       	5/2-              	2 KEV 1                  
17 	F      	9  	8  	13080     	4       	(1/2+)            	2 KEV 1                  
17 	F      	9  	8  	1313E+1   	10      	5/2-              	520 KEV 50               
17 	F      	9  	8  	13781     	4       	5/2+              	12 KEV 5                 
17 	F      	9  	8  	14000     	50      	7/2-              	260 KEV 30               
17 	F      	9  	8  	14176     	6       	3/2-              	30 KEV 5                 
17 	F      	9  	8  	14304     	3       	7/2-              	19.3 KEV 16              
17 	F      	9  	8  	14380     	50      	5/2-              	610 KEV 50               
17 	F      	9  	8  	1471E+1   	10      	1/2-              	470 KEV 100              
17 	F      	9  	8  	14809     	20      	1/2+              	190 KEV 25               
17 	F      	9  	8  	15600     	        	                  	550 KEV AP               
17 	F      	9  	8  	17100     	        	5/2-              	1500 KEV                 
17 	F      	9  	8  	2010E+1   	20      	                  	1070 KEV 60              
17 	F      	9  	8  	2040E+1   	10      	                  	700 KEV 100              
17 	F      	9  	8  	20900     	        	9/2+              	600 KEV                  
17 	F      	9  	8  	2130E+1   	10      	                  	900 KEV 100              
17 	F      	9  	8  	21800     	        	(9/2+)            	400 KEV                  
17 	F      	9  	8  	22700     	        	7/2+              	600 KEV                  
17 	F      	9  	8  	23800     	        	7/2+              	600 KEV                  
17 	F      	9  	8  	25400     	        	7/2-              	1500 KEV                 
17 	F      	9  	8  	27200     	        	5/2-              	1500 KEV                 
17 	F      	9  	8  	28900     	        	5/2+              	2000 KEV                 
