------------------------------------------------------------------------

_Search parameters_:
Nucleus:15N

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
15 	N      	7  	8  	17950     	20      	                  	167 KEV                  
15 	N      	7  	8  	18060     	10      	                  	19 KEV 4                 
15 	N      	7  	8  	18090     	20      	                  	40 KEV AP                
15 	N      	7  	8  	18220     	        	                  	158 KEV                  
15 	N      	7  	8  	18270     	20      	                  	235 KEV 60               
15 	N      	7  	8  	18700     	20      	                  	                         
15 	N      	7  	8  	1891E+1   	15      	3/2+ & 1/2+       	750 KEV 70               
15 	N      	7  	8  	19200     	35      	(1/2+)            	130 KEV AP               
15 	N      	7  	8  	19500     	        	3/2+              	400 KEV AP               
15 	N      	7  	8  	19720     	40      	                  	                         
15 	N      	7  	8  	20120     	50      	                  	                         
15 	N      	7  	8  	20500     	        	3/2+              	400 KEV AP               
15 	N      	7  	8  	20960     	65      	3/2+ & 1/2+       	1740 KEV 150             
15 	N      	7  	8  	21820     	        	                  	600 KEV AP               
15 	N      	7  	8  	23190     	60      	                  	                         
15 	N      	7  	8  	23600     	        	                  	                         
15 	N      	7  	8  	2475E1    	15      	                  	                         
15 	N      	7  	8  	25500     	        	3/2-              	                         
15 	N      	7  	8  	26800     	        	                  	                         
15 	N      	7  	8  	37000     	AP      	                  	                         
 
A  	Element	Z  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               	E Gamma   	Unc     	I Gamma   	Unc     	M Gamma   	M Ratio   	Unc       	Conv. C.  	Unc     
15 	N      	7  	8  	5270.155  	14      	5/2+              	1.79 PS 10               	5269.161  	14      	100       	        	[M2+E3]   	-0.131  	13        	          	        
15 	N      	7  	8  	5298.822  	14      	1/2+              	17 FS 5                  	5297.817  	14      	100       	        	[E1]      	        	          	          	        
15 	N      	7  	8  	6323.78   	2       	3/2-              	0.146 FS 8               	1024.92   	2       	0.05      	LT      	          	        	          	          	        
15 	N      	7  	8  	6323.78   	2       	3/2-              	0.146 FS 8               	6322.35   	2       	100       	        	[M1+E2]   	-0.132  	4         	          	        
15 	N      	7  	8  	6323.78   	2       	3/2-              	0.146 FS 8               	1053.58   	2       	0.1       	LT      	          	        	          	          	        
15 	N      	7  	8  	7155.05   	2       	5/2+              	12 FS 6                  	831.27    	2       	0.5       	LT      	          	        	          	          	        
15 	N      	7  	8  	7155.05   	2       	5/2+              	12 FS 6                  	1884.77   	2       	100.0     	4       	[M1(+E2)] 	+0.014  	+15-12    	          	        
15 	N      	7  	8  	7155.05   	2       	5/2+              	12 FS 6                  	1856.11   	2       	4         	LT      	          	        	          	          	        
15 	N      	7  	8  	7155.05   	2       	5/2+              	12 FS 6                  	7153.22   	2       	0.023     	3       	[E3]      	        	          	          	        
15 	N      	7  	8  	7300.83   	2       	3/2+              	0.42 FS 4                	2001.86   	2       	0.2       	1       	[M1+E2]   	        	          	          	        
15 	N      	7  	8  	7300.83   	2       	3/2+              	0.42 FS 4                	7298.92   	2       	100.0     	7       	[E1+M2]   	-0.017  	+5-8      	          	        
15 	N      	7  	8  	7300.83   	2       	3/2+              	0.42 FS 4                	977.02    	2       	0.25      	LT      	          	        	          	          	        
15 	N      	7  	8  	7300.83   	2       	3/2+              	0.42 FS 4                	2030.53   	2       	0.6       	1       	[M1+E2]   	        	          	          	        
15 	N      	7  	8  	7567.1    	10      	7/2+              	8 FS +8-4                	1243.2    	10      	0.6       	LT      	          	        	          	          	        
15 	N      	7  	8  	7567.1    	10      	7/2+              	8 FS +8-4                	2296.8    	10      	100.0     	10      	[M1+E2]   	+0.028  	12        	          	        
15 	N      	7  	8  	7567.1    	10      	7/2+              	8 FS +8-4                	2268.1    	10      	4         	LT      	          	        	          	          	        
15 	N      	7  	8  	7567.1    	10      	7/2+              	8 FS +8-4                	7565.0    	10      	1.3       	6       	[E3]      	        	          	          	        
15 	N      	7  	8  	8312.62   	3       	1/2+              	1.2 FS 8                 	3042.13   	3       	4         	LT      	          	        	          	          	        
15 	N      	7  	8  	8312.62   	3       	1/2+              	1.2 FS 8                 	1157.52   	4       	1.5       	8       	          	        	          	          	        
15 	N      	7  	8  	8312.62   	3       	1/2+              	1.2 FS 8                 	3013.47   	3       	12.7      	26      	          	        	          	          	        
15 	N      	7  	8  	8312.62   	3       	1/2+              	1.2 FS 8                 	1011.75   	4       	5.6       	9       	          	        	          	          	        
15 	N      	7  	8  	8312.62   	3       	1/2+              	1.2 FS 8                 	8310.15   	3       	100.0     	25      	[E1]      	        	          	          	        
15 	N      	7  	8  	8312.62   	3       	1/2+              	1.2 FS 8                 	1988.70   	4       	5.6       	13      	          	        	          	          	        
15 	N      	7  	8  	8571.40   	12      	3/2+              	0.5 FS 5                 	8568.77   	12      	51        	3       	[E1+M2]   	-0.085  	+5-9      	          	        
15 	N      	7  	8  	8571.40   	12      	3/2+              	0.5 FS 5                 	2247.44   	12      	2.2       	10      	[E1]      	        	          	          	        
15 	N      	7  	8  	8571.40   	12      	3/2+              	0.5 FS 5                 	1004.3    	10      	4.6       	LT      	          	        	          	          	        
15 	N      	7  	8  	8571.40   	12      	3/2+              	0.5 FS 5                 	3300.85   	12      	100       	5       	[M1+E2]   	+0.091  	7         	          	        
15 	N      	7  	8  	8571.40   	12      	3/2+              	0.5 FS 5                 	1416.28   	12      	5.5       	8       	          	        	          	          	        
15 	N      	7  	8  	8571.40   	12      	3/2+              	0.5 FS 5                 	3272.20   	12      	19        	LT      	          	        	          	          	        
15 	N      	7  	8  	8571.40   	12      	3/2+              	0.5 FS 5                 	1270.51   	12      	1.1       	LT      	          	        	          	          	        
15 	N      	7  	8  	9049.71   	7       	1/2+              	0.35 FS 6                	2725.66   	7       	4.9       	11      	[E1]      	        	          	          	        
15 	N      	7  	8  	9049.71   	7       	1/2+              	0.35 FS 6                	1482.5    	10      	2         	LT      	          	        	          	          	        
15 	N      	7  	8  	9049.71   	7       	1/2+              	0.35 FS 6                	9046.78   	7       	100       	3       	[E1]      	        	          	          	        
15 	N      	7  	8  	9049.71   	7       	1/2+              	0.35 FS 6                	1894.53   	7       	11        	LT      	          	        	          	          	        
15 	N      	7  	8  	9049.71   	7       	1/2+              	0.35 FS 6                	737.09    	7       	0.6       	LT      	          	        	          	          	        
15 	N      	7  	8  	9049.71   	7       	1/2+              	0.35 FS 6                	3779.04   	7       	3.8       	11      	[E2]      	        	          	          	        
15 	N      	7  	8  	9049.71   	7       	1/2+              	0.35 FS 6                	1748.77   	7       	1.3       	4       	[M1]      	        	          	          	        
15 	N      	7  	8  	9151.90   	12      	3/2-              	0.97 FS 25               	9148.90   	12      	100       	        	[M1]      	        	          	          	        
15 	N      	7  	8  	9154.90   	3       	5/2+              	5 FS +4-2                	9151.90   	12      	4         	LT      	          	        	          	          	        
15 	N      	7  	8  	9154.90   	3       	5/2+              	5 FS +4-2                	2830.83   	12      	39        	4       	[E1]      	        	          	          	        
15 	N      	7  	8  	9154.90   	3       	5/2+              	5 FS +4-2                	3884.21   	12      	19        	2       	[M1]      	        	          	          	        
15 	N      	7  	8  	9154.90   	3       	5/2+              	5 FS +4-2                	1999.71   	12      	100       	6       	[M1]      	        	          	          	        
15 	N      	7  	8  	9154.90   	3       	5/2+              	5 FS +4-2                	3855.55   	12      	18        	2       	[E2]      	        	          	          	        
15 	N      	7  	8  	9222.1    	8       	1/2-              	90 FS LT                 	1921.2    	8       	6.2       	17      	          	        	          	          	        
15 	N      	7  	8  	9222.1    	8       	1/2-              	90 FS LT                 	2898.0    	8       	83        	15      	[M1]      	        	          	          	        
15 	N      	7  	8  	9222.1    	8       	1/2-              	90 FS LT                 	1654.9    	8       	48        	LT      	          	        	          	          	        
15 	N      	7  	8  	9222.1    	8       	1/2-              	90 FS LT                 	9219.1    	8       	52        	12      	[M1]      	        	          	          	        
15 	N      	7  	8  	9222.1    	8       	1/2-              	90 FS LT                 	2066.9    	8       	2.4       	LT      	          	        	          	          	        
15 	N      	7  	8  	9222.1    	8       	1/2-              	90 FS LT                 	909.5     	8       	12        	LT      	          	        	          	          	        
15 	N      	7  	8  	9222.1    	8       	1/2-              	90 FS LT                 	3922.7    	8       	100       	19      	[E1]      	        	          	          	        
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 	2459.0    	10      	2.5       	LT      	          	        	          	          	        
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 	1188.9    	10      	2.5       	LT      	          	        	          	          	        
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 	9756.6    	10      	100       	4       	[E2]      	        	          	          	        
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 	3435.8    	10      	4.5       	10      	          	        	          	          	        
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 	2192.7    	10      	6.1       	8       	          	        	          	          	        
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 	4475      	15      	9.2       	19      	          	        	          	          	        
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 	2604.8    	10      	2.8       	6       	          	        	          	          	        
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 	1447.3    	10      	1.3       	LT      	          	        	          	          	        
15 	N      	7  	8  	9760      	1       	5/2-              	1.8 FS 6                 	4475      	15      	9.2       	19      	          	        	          	          	        
15 	N      	7  	8  	9829      	3       	7/2-              	12 FS 5                  	2674      	3       	2.8       	13      	[E1]      	        	          	          	        
15 	N      	7  	8  	9829      	3       	7/2-              	12 FS 5                  	4529      	3       	18        	LT      	          	        	          	          	        
15 	N      	7  	8  	9829      	3       	7/2-              	12 FS 5                  	2528      	3       	4.4       	11      	[M2]      	        	          	          	        
15 	N      	7  	8  	9829      	3       	7/2-              	12 FS 5                  	9826      	3       	4.7       	LT      	          	        	          	          	        
15 	N      	7  	8  	9829      	3       	7/2-              	12 FS 5                  	3505      	3       	2.6       	11      	[E2]      	        	          	          	        
15 	N      	7  	8  	9829      	3       	7/2-              	12 FS 5                  	2262      	3       	8.6       	12      	[E1]      	        	          	          	        
15 	N      	7  	8  	9829      	3       	7/2-              	12 FS 5                  	4558      	3       	100       	AP      	[E1]      	        	          	          	        
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                	2624.0    	2       	2.7       	11      	          	        	          	          	        
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                	1353.5    	2       	1.3       	LT      	          	        	          	          	        
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                	9921.5    	2       	100.0     	25      	[M1]      	        	          	          	        
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                	3600.7    	2       	6.3       	16      	          	        	          	          	        
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                	2357.7    	2       	1.3       	LT      	          	        	          	          	        
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                	4639.5    	14      	19.8      	20      	          	        	          	          	        
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                	2769.7    	2       	1.3       	LT      	          	        	          	          	        
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                	1612.3    	2       	1.3       	LT      	          	        	          	          	        
15 	N      	7  	8  	9925.0    	2       	3/2-              	0.21 FS 4                	4639.5    	14      	19.8      	20      	          	        	          	          	        
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               	2498.7    	2       	2         	LT      	          	        	          	          	        
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               	4781.5    	15      	4.2       	7       	          	        	          	          	        
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               	2910.7    	2       	2         	LT      	          	        	          	          	        
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               	1753.3    	2       	2         	LT      	          	        	          	          	        
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               	4781.5    	15      	4.2       	7       	          	        	          	          	        
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               	2764.9    	2       	2         	LT      	          	        	          	          	        
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               	1494.5    	2       	3         	LT      	          	        	          	          	        
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               	10062.4   	2       	100.0     	7       	[E1]      	        	          	          	        
15 	N      	7  	8  	10066.0   	2       	3/2+              	0.069 FS 4               	3741.7    	2       	2         	LT      	          	        	          	          	        
15 	N      	7  	8  	10449.7   	3       	5/2-              	0.5 KEV LT               	1297.7    	3       	8.5       	2       	[M1+E2]   	+0.32   	+10-9     	          	        
15 	N      	7  	8  	10449.7   	3       	5/2-              	0.5 KEV LT               	5178.5    	        	100.0     	15      	[E1]      	        	          	          	        
15 	N      	7  	8  	10449.7   	3       	5/2-              	0.5 KEV LT               	3294.3    	3       	9.5       	2       	[E1+M2]   	+0.13   	+3-4      	          	        
15 	N      	7  	8  	10449.7   	3       	5/2-              	0.5 KEV LT               	620.7     	3       	0.2       	LT      	          	        	          	          	        
15 	N      	7  	8  	10449.7   	3       	5/2-              	0.5 KEV LT               	5150.0    	3       	3.6       	LT      	          	        	          	          	        
15 	N      	7  	8  	10449.7   	3       	5/2-              	0.5 KEV LT               	1878.2    	3       	6.9       	11      	[E1]      	        	          	          	        
15 	N      	7  	8  	10449.7   	3       	5/2-              	0.5 KEV LT               	10445.8   	3       	22        	LT      	          	        	          	          	        
15 	N      	7  	8  	10449.7   	3       	5/2-              	0.5 KEV LT               	4125.3    	3       	57        	3       	[M1+E2]   	+0.59   	13        	          	        
