A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
41 	CA     	20 	21 	5817.1    	5       	3/2+              	28 FS LT                 
41 	CA     	20 	21 	5849      	5       	                  	                         
41 	CA     	20 	21 	5866      	3       	                  	                         
41 	CA     	20 	21 	5891.6    	14      	1/2-              	                         
41 	CA     	20 	21 	5910      	3       	                  	                         
41 	CA     	20 	21 	5933.2    	10      	(5/2)-            	                         
41 	CA     	20 	21 	5975.9    	12      	(3/2,5/2)+        	                         
41 	CA     	20 	21 	5984      	5       	1/2+              	                         
41 	CA     	20 	21 	6004.6    	13      	1/2-              	                         
41 	CA     	20 	21 	6013      	3       	                  	                         
41 	CA     	20 	21 	6036.0    	17      	(9/2)+            	                         
41 	CA     	20 	21 	6066      	2       	(5/2:11/2)+       	                         
41 	CA     	20 	21 	6083      	2       	(3/2)+            	                         
41 	CA     	20 	21 	6098.7    	14      	5/2+              	                         
41 	CA     	20 	21 	6140.6    	16      	(5/2,7/2)-        	                         
41 	CA     	20 	21 	6148      	3       	                  	                         
41 	CA     	20 	21 	6164      	2       	                  	                         
41 	CA     	20 	21 	6179.8    	13      	1/2-              	                         
41 	CA     	20 	21 	6192.9    	11      	                  	                         
41 	CA     	20 	21 	6208.2    	13      	3/2-              	                         
41 	CA     	20 	21 	6238.8    	8       	5/2-              	                         
41 	CA     	20 	21 	6245      	5       	                  	                         
41 	CA     	20 	21 	6272.9    	12      	5/2-              	                         
41 	CA     	20 	21 	6284.0    	17      	(5/2)+            	                         
41 	CA     	20 	21 	6295.9    	21      	7/2-              	                         
41 	CA     	20 	21 	6325.1    	11      	(5/2)+            	                         
41 	CA     	20 	21 	6354.1    	24      	5/2+              	                         
41 	CA     	20 	21 	6376.7    	10      	1/2-              	                         
41 	CA     	20 	21 	6400.7    	13      	(9/2)+            	                         
41 	CA     	20 	21 	6410.9    	4       	(1/2,3/2,5/2+)    	                         
41 	CA     	20 	21 	6437.9    	7       	5/2-              	                         
41 	CA     	20 	21 	6450.7    	14      	5/2-              	                         
41 	CA     	20 	21 	6462      	10      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	6483.4    	22      	+                 	                         
41 	CA     	20 	21 	6520.6    	11      	5/2-              	                         
41 	CA     	20 	21 	6527      	7       	(5/2:11/2)+       	                         
41 	CA     	20 	21 	6553      	10      	                  	                         
41 	CA     	20 	21 	6567.4    	13      	7/2-              	                         
41 	CA     	20 	21 	6602.6    	15      	(GE 5/2)          	                         
41 	CA     	20 	21 	6614.2    	16      	(GE 5/2)          	                         
41 	CA     	20 	21 	6628.6    	24      	                  	                         
41 	CA     	20 	21 	6647.0    	20      	5/2-              	                         
41 	CA     	20 	21 	6674.3    	13      	5/2+              	                         
41 	CA     	20 	21 	6686.2    	8       	7/2-              	                         
41 	CA     	20 	21 	6729.2    	10      	7/2-              	                         
41 	CA     	20 	21 	6738      	7       	(5/2:11/2)+       	                         
41 	CA     	20 	21 	6748.1    	9       	7/2-              	                         
41 	CA     	20 	21 	6792.9    	19      	(5/2)+            	                         
41 	CA     	20 	21 	6806.7    	15      	(3/2)+            	                         
41 	CA     	20 	21 	6822.4    	5       	1/2+              	28 FS LT                 
41 	CA     	20 	21 	6826.3    	5       	(15/2,19/2)       	1.7 PS LT                
