     0     1     1.0	27.1916313    27.175435    0.63596793
     0     1     1.0	28.2308452    28.105944 0.00014863823
     2     1     1.0	27.112929     27.094219    0.66201965
     2     1     1.0	28.3051782    28.102932 2.1453103e-05
     1     1     1.0	27.7583815    27.615014  0.0025378287
     1     1     1.0	28.0363185    27.818758   0.009883291
     3     1     1.0	27.7126438    27.640024    0.52067902
     3     1     1.0	27.9588661    27.800799  0.0086145272
     0     1     0.315	11.5269388    11.506036    0.39300145
     0     1     0.315	11.800601     11.691028 6.8662917e-05
     2     1     0.315	11.5367379    11.505506    0.42374205
     2     1     0.315	11.8523405    11.698988 0.00014383202
     1     1     0.315	11.7560503     11.62083 3.3202001e-05
     1     1     0.315	11.8113069    11.677526 0.00058327839
     3     1     0.315	11.688794     11.622936    0.36166408
     3     1     0.315	11.8279965      11.7049 0.00016281496
     0     1     0.1	5.20262307    5.1835496    0.20425625
     0     1     0.1	5.28251206    5.2018276 0.00096015182
     2     1     0.1	5.23568783    5.1928662    0.21086175
     2     1     0.1	5.32034824    5.2142854 0.00030084097
     1     1     0.1	5.30568872    5.2017852 0.00010830411
     1     1     0.1	5.31935569     5.208115   0.014172145
     3     1     0.1	5.27303169    5.2172594    0.20658554
     3     1     0.1	5.32496742    5.2317258 0.00036512349
     0     1     1.0	15.5982045     15.53563     0.6466607
     0     1     1.0	15.9708671    15.830294   0.013787362
     1     1     1.0	15.1044567    15.039475    0.76849799
     1     1     1.0	16.3390666    16.083917   0.016134199
     0     1    0.315	6.29970478    6.2389204    0.51371901
     0     1    0.315	6.51621392      6.37791  0.0047640379
     1     1    0.315	6.18433102    6.1571128    0.56109286
     1     1    0.315	6.53342263    6.3722435  0.0061710704
     0     1     0.1	2.72010391    2.6643006    0.35732834
     0     1     0.1	2.83005899    2.7138098 0.00066755128
     1     1     0.1	2.67781973    2.6504442    0.34748465
     1     1     0.1	2.80233553    2.6986659 0.00089416355
