A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
17 	O      	8  	9  	0.0       	        	5/2+              	STABLE                   
17 	O      	8  	9  	870.73    	10      	1/2+              	179.2 PS 18              
17 	O      	8  	9  	3055.36   	16      	1/2-              	0.08 PS +6-4             
17 	O      	8  	9  	3842.8    	4       	5/2-              	18 FS LE                 
17 	O      	8  	9  	4553.8    	16      	3/2-              	40 KEV 5                 
17 	O      	8  	9  	5084.8    	9       	3/2+              	96 KEV 5                 
17 	O      	8  	9  	5215.8    	5       	9/2-              	0.1 KEV LT               
17 	O      	8  	9  	5379.2    	14      	3/2-              	28 KEV 7                 
17 	O      	8  	9  	5697.3    	4       	7/2-              	3.4 KEV 3                
17 	O      	8  	9  	5732.8    	5       	(5/2-)            	1 KEV LT                 
17 	O      	8  	9  	5869.1    	6       	3/2+              	6.6 KEV 7                
17 	O      	8  	9  	5939      	4       	1/2-              	32 KEV 3                 
17 	O      	8  	9  	6356      	8       	1/2+              	124 KEV 12               
17 	O      	8  	9  	6862      	2       	(5/2+)            	1 KEV LT                 
17 	O      	8  	9  	6972      	2       	(7/2-)            	1 KEV LT                 
17 	O      	8  	9  	7165.7    	8       	5/2-              	1.38 KEV 5               
17 	O      	8  	9  	7202      	10      	3/2+              	280 KEV 30               
17 	O      	8  	9  	7379.2    	10      	5/2+              	0.64 KEV 23              
17 	O      	8  	9  	7382.2    	10      	5/2-              	0.96 KEV 20              
17 	O      	8  	9  	7559      	20      	3/2-              	500 KEV 50               
17 	O      	8  	9  	7576      	2       	(7/2+)            	0.1 KEV LT               
17 	O      	8  	9  	7688.2    	9       	7/2-              	14.4 KEV 3               
17 	O      	8  	9  	7757      	9       	11/2-             	                         
17 	O      	8  	9  	7956      	6       	1/2+              	90 KEV 9                 
17 	O      	8  	9  	7990      	50      	1/2-              	270 KEV 30               
17 	O      	8  	9  	8070      	10      	3/2+              	85 KEV 9                 
17 	O      	8  	9  	8200      	7       	3/2-              	60 KEV                   
17 	O      	8  	9  	8342.4    	9       	1/2+              	11.4 KEV 5               
17 	O      	8  	9  	8402.3    	8       	5/2+              	6.17 KEV 13              
17 	O      	8  	9  	8466.0    	8       	7/2+              	2.13 KEV 11              
17 	O      	8  	9  	8500.7    	8       	5/2-              	6.89 KEV 22              
17 	O      	8  	9  	8687.0    	10      	3/2-              	55.3 KEV 6               
17 	O      	8  	9  	8885      	14      	7/2-,9/2-         	6 KEV                    
17 	O      	8  	9  	8897      	8       	3/2+              	101 KEV 3                
17 	O      	8  	9  	8967.2    	17      	7/2-              	26 KEV 2                 
17 	O      	8  	9  	9147      	4       	1/2-              	4 KEV 3                  
17 	O      	8  	9  	9150      	20      	9/2-              	                         
17 	O      	8  	9  	9180      	        	7/2-              	3 KEV                    
17 	O      	8  	9  	9193.9    	8       	5/2+              	3.53 KEV 13              
17 	O      	8  	9  	9420      	        	3/2-              	120 KEV                  
17 	O      	8  	9  	9492      	4       	5/2-              	15 KEV 1                 
17 	O      	8  	9  	9711.9    	9       	7/2+              	23.1 KEV 3               
17 	O      	8  	9  	9783.3    	9       	3/2+              	11.7 KEV 3               
17 	O      	8  	9  	9858.9    	9       	(5/2-)            	4.01 KEV 23              
17 	O      	8  	9  	9876.5    	13      	(1/2-)            	16.7 KEV 17              
17 	O      	8  	9  	9976      	20      	5/2+              	80 KEV AP                
17 	O      	8  	9  	10045     	20      	                  	100 KEV AP               
17 	O      	8  	9  	10167.8   	10      	7/2-              	49.1 KEV 8               
17 	O      	8  	9  	10336     	15      	5/2+,7/2-         	150 KEV                  
17 	O      	8  	9  	10423     	3       	                  	14 KEV 3                 
17 	O      	8  	9  	10490     	        	5/2+,7/2-         	75 KEV 30                
17 	O      	8  	9  	10559.1   	10      	(7/2-)            	42.5 KEV 11              
17 	O      	8  	9  	10777     	3       	1/2+,7/2-         	74 KEV 3                 
17 	O      	8  	9  	10913     	3       	(5/2+)            	41.7 KEV 14              
17 	O      	8  	9  	11036     	3       	                  	31 KEV 3                 
17 	O      	8  	9  	11078.7   	9       	1/2-              	2.4 KEV 3                
17 	O      	8  	9  	11238     	        	                  	80 KEV 3                 
17 	O      	8  	9  	11510     	        	GE 3/2            	190 KEV                  
17 	O      	8  	9  	11622     	        	                  	65 KEV 2                 
17 	O      	8  	9  	11750     	10      	                  	40 KEV 25                
17 	O      	8  	9  	11815     	15      	                  	12 KEV 3                 
17 	O      	8  	9  	12005     	15      	GE 3/2            	270 KEV                  
17 	O      	8  	9  	12110     	20      	                  	150 KEV 50               
17 	O      	8  	9  	12220     	20      	                  	20 KEV LE                
17 	O      	8  	9  	12274     	15      	                  	100 KEV 30               
17 	O      	8  	9  	12380     	20      	                  	                         
17 	O      	8  	9  	12420     	15      	                  	                         
17 	O      	8  	9  	12466.0   	10      	3/2-              	6.9 KEV 11               
17 	O      	8  	9  	12595     	15      	                  	75 KEV 30                
17 	O      	8  	9  	12669     	15      	                  	5 KEV AP                 
17 	O      	8  	9  	12810     	25      	                  	                         
17 	O      	8  	9  	12930     	20      	                  	150 KEV GE               
17 	O      	8  	9  	12944     	5       	1/2+              	6 KEV 2                  
