A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
41 	SC     	21 	20 	6399      	5       	3/2+,5/2+         	8.1 KEV                  
41 	SC     	21 	20 	6414      	5       	5/2+              	6.0 KEV                  
41 	SC     	21 	20 	6435      	5       	5/2-              	10.4 KEV                 
41 	SC     	21 	20 	6458      	5       	(3/2-)            	4.9 KEV                  
41 	SC     	21 	20 	6469      	5       	5/2-              	12.1 KEV                 
41 	SC     	21 	20 	6475      	5       	(1/2,3/2,5/2)+    	                         
41 	SC     	21 	20 	6507      	5       	                  	                         
41 	SC     	21 	20 	6513      	5       	5/2+              	18.8 KEV                 
41 	SC     	21 	20 	6522      	5       	                  	                         
41 	SC     	21 	20 	6533      	5       	5/2+              	1.3 KEV                  
41 	SC     	21 	20 	6572      	5       	5/2-              	4.5 KEV                  
41 	SC     	21 	20 	6585      	5       	1/2-              	4.5 KEV                  
41 	SC     	21 	20 	6589      	5       	1/2+              	                         
41 	SC     	21 	20 	6610      	5       	1/2+              	9.5 KEV                  
41 	SC     	21 	20 	6622      	5       	5/2+              	3.2 KEV                  
41 	SC     	21 	20 	6643      	5       	                  	                         
41 	SC     	21 	20 	6651      	5       	9/2+              	4.0 KEV                  
41 	SC     	21 	20 	6673      	40      	(1/2,3/2,5/2)+    	                         
41 	SC     	21 	20 	6691      	5       	3/2-              	3.2 KEV                  
41 	SC     	21 	20 	6700      	5       	5/2+              	6.2 KEV                  
41 	SC     	21 	20 	6730      	5       	                  	                         
41 	SC     	21 	20 	6741      	5       	5/2+              	7.2 KEV                  
41 	SC     	21 	20 	6752      	5       	                  	                         
41 	SC     	21 	20 	6772      	5       	(3/2-)            	                         
41 	SC     	21 	20 	6783      	5       	5/2-              	10.4 KEV                 
41 	SC     	21 	20 	6824      	5       	5/2+              	4.1 KEV                  
41 	SC     	21 	20 	6841      	5       	5/2-              	6.3 KEV                  
41 	SC     	21 	20 	6857      	5       	3/2-              	9.6 KEV                  
41 	SC     	21 	20 	6872      	5       	(1/2,3/2)-        	                         
41 	SC     	21 	20 	6877      	40      	(1/2,3/2,5/2)+    	                         
41 	SC     	21 	20 	6880      	5       	9/2+              	1.3 KEV                  
41 	SC     	21 	20 	6895      	5       	(9/2+)            	3.4 KEV                  
41 	SC     	21 	20 	6908      	5       	5/2-              	6.9 KEV                  
41 	SC     	21 	20 	6923      	5       	(5/2)-            	4.5 KEV                  
41 	SC     	21 	20 	6947      	5       	(1/2,3/2,5/2)+    	1.3 KEV                  
41 	SC     	21 	20 	6970      	5       	5/2+              	6.9 KEV                  
41 	SC     	21 	20 	6996      	5       	9/2+              	1.3 KEV                  
41 	SC     	21 	20 	7004      	5       	(9/2+)            	1.0 KEV LT               
41 	SC     	21 	20 	7022      	5       	                  	                         
41 	SC     	21 	20 	7033      	5       	5/2+              	3.2 KEV                  
41 	SC     	21 	20 	7069      	5       	5/2-              	9.3 KEV                  
41 	SC     	21 	20 	7078      	5       	                  	                         
41 	SC     	21 	20 	7107      	5       	5/2+              	19.8 KEV                 
41 	SC     	21 	20 	7113      	5       	(3/2,5/2)-        	14.0 KEV                 
41 	SC     	21 	20 	7123      	5       	                  	7.7 KEV                  
41 	SC     	21 	20 	7142      	5       	5/2+              	12.0 KEV                 
41 	SC     	21 	20 	7177      	5       	1/2-,3/2+,7/2-    	                         
41 	SC     	21 	20 	7182      	20      	(1/2,3/2,5/2)+    	                         
41 	SC     	21 	20 	7201      	5       	5/2+              	40 KEV                   
41 	SC     	21 	20 	7206      	        	                  	                         
41 	SC     	21 	20 	7245      	5       	5/2-              	12 KEV                   
41 	SC     	21 	20 	7264      	        	                  	                         
41 	SC     	21 	20 	7279      	5       	5/2+              	9 KEV                    
41 	SC     	21 	20 	7297      	5       	(7/2+)            	                         
41 	SC     	21 	20 	7313      	        	                  	                         
41 	SC     	21 	20 	7333      	5       	5/2+              	23 KEV                   
41 	SC     	21 	20 	7338      	5       	5/2-              	                         
41 	SC     	21 	20 	7347      	5       	(5/2+)            	10 KEV                   
41 	SC     	21 	20 	7352      	5       	(9/2+)            	8 KEV                    
41 	SC     	21 	20 	7360      	19      	(1/2,3/2,5/2)+    	                         
41 	SC     	21 	20 	7382      	        	                  	                         
41 	SC     	21 	20 	7396      	5       	(9/2+)            	                         
41 	SC     	21 	20 	7406      	5       	(5/2)             	                         
41 	SC     	21 	20 	7421      	        	                  	                         
41 	SC     	21 	20 	7469      	5       	(3/2+)            	                         
41 	SC     	21 	20 	7474      	5       	                  	44 KEV                   
41 	SC     	21 	20 	7489      	5       	(7/2-,9/2+)       	                         
41 	SC     	21 	20 	7494      	        	                  	                         
41 	SC     	21 	20 	7523      	5       	(7/2+)            	                         
41 	SC     	21 	20 	7538      	5       	3/2(+)            	8 KEV                    
41 	SC     	21 	20 	7557      	5       	3/2-              	12 KEV                   
41 	SC     	21 	20 	7572      	5       	3/2+              	10 KEV                   
41 	SC     	21 	20 	7606      	5       	(5/2-)            	                         
41 	SC     	21 	20 	7620      	50      	(1/2,3/2,5/2)+    	                         
41 	SC     	21 	20 	7640      	5       	(9/2+)            	30 KEV                   
41 	SC     	21 	20 	7650      	5       	(5/2+)            	                         
41 	SC     	21 	20 	7660      	5       	1/2-              	30 KEV                   
41 	SC     	21 	20 	7718      	5       	3/2-              	20 KEV                   
41 	SC     	21 	20 	7742      	5       	(3/2+)            	                         
41 	SC     	21 	20 	7777      	5       	7/2-              	35 KEV                   
41 	SC     	21 	20 	7815      	5       	(1/2)             	                         
41 	SC     	21 	20 	7830      	5       	5/2-              	33 KEV                   
41 	SC     	21 	20 	7855      	5       	(9/2+)            	27 KEV                   
41 	SC     	21 	20 	7874      	5       	(1/2-)            	20 KEV                   
41 	SC     	21 	20 	7894      	5       	(1/2,3/2,5/2)+    	                         
41 	SC     	21 	20 	7903      	5       	(1/2)             	                         
41 	SC     	21 	20 	7938      	5       	                  	                         
41 	SC     	21 	20 	7947      	5       	                  	                         
41 	SC     	21 	20 	7962      	5       	                  	                         
41 	SC     	21 	20 	7981      	5       	                  	                         
41 	SC     	21 	20 	8006      	5       	(3/2-)            	25 KEV                   
41 	SC     	21 	20 	8089      	5       	(3/2)-            	50 KEV                   
41 	SC     	21 	20 	8147      	5       	(5/2+)            	75 KEV                   
41 	SC     	21 	20 	8450      	10      	(9/2+)            	                         
41 	SC     	21 	20 	8645      	10      	(9/2+)            	                         
41 	SC     	21 	20 	8879      	10      	9/2+              	8 KEV                    
41 	SC     	21 	20 	9128      	10      	9/2+              	18 KEV                   
41 	SC     	21 	20 	9269      	10      	9/2+              	10 KEV                   
41 	SC     	21 	20 	9415      	10      	9/2+              	11 KEV                   
41 	SC     	21 	20 	9513      	10      	9/2+              	15 KEV                   
41 	SC     	21 	20 	9659      	10      	9/2+              	16 KEV                   
41 	SC     	21 	20 	9698      	10      	9/2+              	12 KEV                   
41 	SC     	21 	20 	9815      	10      	9/2+              	13 KEV                   
41 	SC     	21 	20 	10500     	        	                  	                         
41 	SC     	21 	20 	11100     	        	                  	                         
